incident_id,date,date_confidence,utility,notice_type,title,affected_areas_raw,region_ward,asset_type,source_url,notes
102015,2026-06-19T09:55:37,confirmed,water,planned_maintenance,Water supply interruption: Hebron and Itsoseng – 25 June 2026,will fall under Madibeng Local Municipality: Hebron Itsoseng The contact persons (for internal enquiries only) are as follows: Donald Ngonyama (Engineering Consultant): 079 622 9588 Lesego Lekubu (Project Manager): 082 940 6817 After hours: 012 358 2111/9999 or 080 1111 556 Residents are urged to make the following water-conservation measures part of their normal lifestyle: Do not water or irrigate gardens with hosepipes or sprinkler systems between 06:00 and 18:00,TBD,TBD,https://www.tshwane.gov.za/?p=102015,Residents in Madibeng Local Municipality who are supplied with water by the City of Tshwane (Hebron and Itsoseng) reservoir area are informed about a water supply interruption scheduled for 25 June 2026 from 08:00 to 16:00 ( eight hours) to install bulk meters on the bulk supply network. The affected areas will fall under Madibeng Local Municipality: Hebron Itsoseng The contact persons (for internal enquiries only) are as follows: Donald Ngonyama (Engineering Consultant): 079 622 9588 Lesego Lek
101771,2026-06-09T15:03:02,confirmed,electricity,planned_maintenance,Electricity supply interruption to affect several streets in Waterkloof Ridge – 9 June 2026,,TBD,TBD,https://www.tshwane.gov.za/?p=101771,"The City of Tshwane Energy and Electricity Business Unit will carry out two-day maintenance on the 11 kV panels at Aries Substation in Waterkloof Ridge on Wednesday, 10 June 2026, and Thursday, 11 June 2026. On both days, the technical team will implement hourly rotational switching on high-voltage switchgears at Aries Substation from 08:00 until 16:00 . The said maintenance work is necessitated by the City’s obligation to ensure reliable and safe electricity supply. The following streets in Wat"
101512,2026-06-01T12:59:59,confirmed,water,planned_maintenance,City of Tshwane water systems show steady recovery following Rand Water maintenance – 1 June 2026,". According to Rand Water, the Palmiet System is currently pumping at 89% capacity as it continues to stabilise",TBD,TBD,https://www.tshwane.gov.za/?p=101512,"The City of Tshwane is pleased to report continued progress in the recovery of its water distribution network following the completion of Rand Water’s planned maintenance programme. Most of the City’s reservoirs, towers and supply systems have remained stable throughout the recovery period, with water supply being maintained across most affected areas. According to Rand Water, the Palmiet System is currently pumping at 89% capacity as it continues to stabilise. Despite the system not yet operati"
100927,2026-05-25T10:00:40,confirmed,unclear,planned_maintenance,"Rand Water to embark on phased maintenance work at its Palmiet, Zuikerbosch and Mapleton Systems which supply water to parts of Tshwane- 24 May 2026",,TBD,TBD,https://www.tshwane.gov.za/?p=100927,"Rand Water will carry out two-phased annual maintenance of its infrastructure at the Palmiet, Zuikerbosch and Mapleton Systems to improve its network’s reliability and efficiency ahead of the start of the winter season. The first phase of this essential work will take place from Friday, 29 May 2026, to Tuesday, 2 June 2026. The planned maintenance work, according to the water utility, will coincide with Eskom’s planned critical maintenance activities which will enhance operational flexibility ac"
100661,2026-05-18T09:41:38,confirmed,water,planned_maintenance,Planned water supply interruption to affect the Soshanguve L Reservoir supply areas-15 May 2026,,TBD,TBD,https://www.tshwane.gov.za/?p=100661,"Customers in the Soshanguve L Reservoir supply area are informed about a water supply interruption planned for Tuesday, 2 June 2026 . On this day, technicians from the City of Tshwane’s Water and Sanitation Business Unit will replace a leaking coupling on the inlet side of the chamber at the Soshanguve L Reservoir. The said work, which is expected to last for eight hours, from 08:00 to 16:00 , will affect the following areas: Soshanguve South Ext 1 Soshanguve Block TT The City of Tshwane apologi"
98813,2026-03-23T13:39:47,confirmed,water,planned_maintenance,Planned shutdown of the water supply to affect Babelegi Reservoir and Tower supply areas-22 March 2026,Kekana Refilwe Mandela Village Marokolong Ramotse Babelegi industries Rockville Leboneng The City of Tshwane sincerely apologises for the inconvenience that may be encountered due to the above-mentioned planned work,TBD,TBD,https://www.tshwane.gov.za/?p=98813,"The City of Tshwane wishes to inform customers in the supply areas of the Babelegi Reservoir and Tower about a planned shutdown of the water supply on Thursday, 26 March 2026 . The shutdown, which is scheduled for 10 hours , from 07:00 to 17:00 , is necessitated by the need to carry out the installation of an inlet and bypass system on the reservoir meter. The following areas will be affected: Kekana Refilwe Mandela Village Marokolong Ramotse Babelegi industries Rockville Leboneng The City of Ts"
97851,2026-02-27T11:34:10,confirmed,water,planned_maintenance,Planned maintenance of a water supply network in Montana Ext 207 – 27 February 2026,,TBD,TBD,https://www.tshwane.gov.za/?p=97851,"On Wednesday, 4 March 2026, the City of Tshwane’s Water and Sanitation Business Unit will carry out maintenance and upgrading work to the water supply network in Montana Ext 207, along Jeugd Road between Veronica and Dr Swanepoel Roads. This essential work is expected to last for nine hours , from 08:00 to 17:00 , and may result in a water supply interruption in the following areas and roads: Montana Ext 110, 116, 131 and 174 Montana AH and surrounding areas Jeugd Road between Veronica and Dr Sw"
97840,2026-02-27T11:27:21,confirmed,water,planned_maintenance,Planned maintenance of Willow Acres Water Meter- 26 February 2026,Silver Lakes Willow Acres NB: The upgrade may affect other areas not mentioned and the City apologises in advance should this occur,TBD,TBD,https://www.tshwane.gov.za/?p=97840,"The City of Tshwane Water and Sanitation Business Unit has been notified by Rand Water of planned maintenance on the Willow Acres Water Meter, scheduled to take place from 2 to 3 March 2026 . During this period, Rand Water will replace the water meter to ensure improved efficiency and reliability of the water supply network. The work is expected to take eight hours, from 18:00 on Monday until 02:00 on Tuesday, to complete . The following areas will be affected: Silver Lakes Willow Acres NB: The "
97568,2026-02-12T14:35:15,confirmed,water,system_status_update,"The City of Tshwane’s Regions 1, 3 and 4 water network system update – 12 February 2026",,TBD,TBD,https://www.tshwane.gov.za/?p=97568,"Some of the City of Tshwane’s reservoirs in Regions 1, 3 and 4, which have been struggling to recover from their depletion since last week following inflow challenges, have shown some signs of stability, their low-level status notwithstanding. The Ga-Rankuwa and Mabopane Central reservoirs are stable and operating normally. The Pretoriusrand Reservoir has recovered and is also at stable levels. In the high-consumption areas, the Atteridgeville HL and Laudium reservoirs are stable, however, consu"
97502,2026-02-12T11:39:48,confirmed,water,system_status_update,Latest water supply update: Bronkhorstspruit System – 12 February 2026,,TBD,TBD,https://www.tshwane.gov.za/?p=97502,"Customers who are supplied by the Zithobeni Tower Zone are strongly urged to reduce their consumption levels, which are excessively high. This high consumption behaviour is putting severe strain on the Bronkhorstspruit Water Treatment Plant, which has so far been running consistently since Tuesday, 3 February 2026, with a production figure of 30 Mℓ per day. This morning, Thursday, 12 February 2026, the Zithobeni Tower, which was sitting above 40% yesterday afternoon, ran empty due to high consum"
97477,2026-02-11T15:10:52,confirmed,electricity,planned_maintenance,Planned power supply interruption to affect the Cornwall Hill Substation – 11 February 2026,Irene Mall Doornkloof plots Cornwall Hill Cornwall Hill Estate Route 21 Business Park Rietvlei Ridge Rietvlei Heights Customers are advised to treat all electricity supply points as live at all times,TBD,TBD,https://www.tshwane.gov.za/?p=97477,"Customers in the Cornwall Hill Substation supply area are informed about a planned shutdown of the power supply on Sunday, 22 February 2026 , to allow the technical team to attend to a sinkhole that has developed in the vicinity of the substation. The sinkhole has progressively worsened, which compels the City’s geotechnical team to carry out emergency assessments to determine the level of risk to the substation with a view to implementing the appropriate mitigation measures. In the interest of "
97461,2026-02-11T14:59:32,confirmed,water,system_status_update,Tshwane’s water network system continues to be under severe strain- 11 February 2026,,TBD,TBD,https://www.tshwane.gov.za/?p=97461,"The City of Tshwane’s water distribution network is still under severe strain as the inflow from Rand Water persists at a low level, which has been exacerbated by high consumption. The exceedingly high consumption by consumers has adversely impacted the main receiving reservoirs in Regions 1, 3 and 4, which are at critical levels, with some already running empty. As of this morning, Wednesday, 11 February 2026, the Soshanguve Block L and Mabopane Reservoirs were still empty. Our teams are closel"
97421,2026-02-10T09:16:20,confirmed,water,system_status_update,High water consumption adversely impacting City of Tshwane supply – 9 February 2026,,TBD,TBD,https://www.tshwane.gov.za/?p=97421,"The City of Tshwane is experiencing excessively high water consumption, which is putting the City’s water network system under severe strain. The City has so far identified certain areas in various regions which are the main contributors to the overall high volume of consumption within Tshwane. Our water balance data accessed on www.tshwane.gov.za indicates that water use in some areas is above the average household consumption. Since December 2025, consumption has averaged more than 30,6 kℓ per"
97022,2026-02-02T14:39:24,confirmed,water,rescheduled,Rescheduled water supply interruption to affect some areas in Region 6 – 31 January 2026,,TBD,TBD,https://www.tshwane.gov.za/?p=97022,"The City of Tshwane’s Water and Sanitation Business Unit has rescheduled planned maintenance and upgrade work on the water supply network at the cnr of Struben Street and Graham Road in Region 6. The work is now scheduled to take place on Wednesday, 4 February 2026 . The maintenance was initially planned for Wednesday, 28 January 2026 , but unforeseen challenges within the network necessitated the rescheduling of this work. The essential maintenance is expected to last approximately nine hours, "
